nombre campo banda HJD idEpoc lineas xmin xmax ymin ymax magmax magmin
v20130802_00117 b278 Ks 2456507.49557602 45 689896 3.13 12765.45 3 15649.56 17.348 10.17
v20130802_00357 b278 Ks 2456507.55927067 46 429710 3.49 12763.76 6.94 15651.05 17.096 9.545
v20130804_00314 b278 Ks 2456509.54330404 47 668577 3.31 12764.95 3.05 15649.1 17.323 10.163
v20130805_00052 b279 Ks 2456510.48315386 44 373088 3.43 12761.98 5.62 15645.1 17.051 9.791
v20130805_00508 b279 Ks 2456510.61628162 45 607141 3.16 12764.01 4.96 15644.12 17.253 9.956
v20130806_00517 b279 Ks 2456511.61833425 46 648104 3.59 12762.02 4.9 15648.24 17.292 9.853
v20130807_00413 b279 Ks 2456512.63053775 47 578214 3.89 12764.28 5.14 15645.61 17.253 9.841
v20130809_00709 b279 Ks 2456514.70186303 48 207215 5.6 12760.47 3.74 15649.21 16.013 7.795
v20130821_00490 b279 Ks 2456526.60220779 49 617382 3 12761.43 5.16 15646.7 17.278 9.666
v20130822_00653 b278 Ks 2456527.63701619 48 643257 3.77 12765.48 4.37 15642.78 17.322 9.823
v20130829_00147 b278 Ks 2456534.60024225 49 608641 3.33 12765.88 4.56 15643.41 17.266 9.832
v20130831_00246 b279 Ks 2456536.5384378 50 529024 4.11 12763.03 3.12 15643.69 17.229 9.457
v20130831_00414 b279 Ks 2456536.58374851 51 381057 3.65 12763.39 5.44 15646.16 17.022 9.739
v20130901_00534 b279 Ks 2456537.6098039 52 525124 3.27 12761.99 4.69 15645 17.207 9.912
v20130902_00400 b279 Ks 2456538.59069138 53 553506 4.38 12763.23 3.39 15646.62 17.234 9.807
v20130923_00109 b278 Ks 2456559.50081556 50 564048 3.72 12764.15 5.63 15641.42 17.217 9.97
v20130924_00294 b278 Ks 2456560.54846487 51 635055 3.72 12764.07 5.61 15643.47 17.265 10.049
v20130927_00417 b279 Ks 2456563.57868992 54 307336 3.52 12763.2 4.24 15648.64 16.782 9.279
v20131006_00221 b278 Ks 2456572.53104322 52 585588 3.48 12762.88 4.74 15644.83 17.251 9.719
v20131007_00090 b279 Ks 2456573.49646966 55 465792 4.06 12762.29 3.58 15645.15 17.141 9.548
v20131017_00025 b278 Ks 2456583.48652096 53 433224 3.29 12764.73 4.8 15644.22 17.046 9.777
v20140228_00421 b278 Ks 2456717.88975518 54 621242 3.18 12765.1 4.2 15652.38 17.275 9.88
v20140317_00369 b279 Ks 2456734.80947703 56 559259 3.6 12760.93 3.76 15646.17 17.228 9.842
v20140325_00453 b279 Ks 2456742.84715366 57 642326 3.13 12761.29 3.08 15644.41 17.303 10.115
v20140328_00554 b279 Ks 2456745.89754341 58 524807 4.53 12760.67 4.68 15648.6 17.209 9.794
v20140422_00521 b278 Ks 2456770.80960466 55 356665 3.48 12764.44 3.29 15649 16.952 9.412
v20140501_00600 b278 Ks 2456779.9216732 56 311211 4.39 12767.55 4.75 15643 16.852 9.346
v20140511_00516 b279 Ks 2456789.68879582 59 545158 3.78 12761.74 4.46 15646.86 17.213 9.411
v20140512_00371 b279 Ks 2456790.65793362 60 516820 3.9 12762.42 3.27 15647.16 17.21 9.704
v20140520_00784 b278 Ks 2456798.81227452 57 508114 5.42 12765.01 5.95 15643.45 17.21 9.433
v20140521_00517 b278 Ks 2456799.62756197 58 488466 3.39 12764.32 4.54 15647.39 17.069 9.599
v20140521_00613 b278 Ks 2456799.65187058 59 529108 3.19 12763.89 3.79 15650.22 17.115 9.541
v20140526_00805 b279 Ks 2456804.7066316 61 460413 3.57 12763.57 3.96 15643.51 16.764 8.989
v20140528_00536 b279 Ks 2456806.71366909 62 485745 3.35 12762.42 3.91 15646.92 17.187 9.957
v20150331_01281 b278 Ks 2457113.90829559 60 649292 3.05 12767.42 3.1 15647.18 17.268 9.943
v20150721_00169 b279 Ks 2457225.505621 63 458761 3.75 12758.73 4.03 15644.26 17.117 9.694
v20150722_00421 b278 Ks 2457226.633823 61 397565 4.32 12764.41 3.75 15655.04 17.01 9.397
v20150725_00277 b279 Ks 2457229.55223349 64 616219 3.48 12763.39 3.23 15647.06 17.218 9.868
v20150725_00973 b279 Ks 2457229.74547919 65 603349 3.16 12763.14 4.89 15647.31 17.178 9.762
v20150731_00397 b278 Y 2457235.59731134 2 670087 3 12765.91 4.58 15647.17 18.659 10.94
v20150731_00409 b278 Z 2457235.60413444 2 702751 3 12764.44 5.15 15646.04 19.017 11.117
v20150731_00421 b279 Y 2457235.60784481 2 676264 3.36 12762.03 5.26 15647.75 18.565 10.918
v20150731_00433 b279 Z 2457235.61147921 2 663646 3.37 12760.27 4.68 15645.41 18.902 11.127
v20150806_00730 b278 Ks 2457241.6781982 62 510117 3.32 12764.51 4.24 15648.37 17.143 9.523
v20150807_00412 b279 Ks 2457242.60842835 66 400502 3.6 12763.19 5.82 15644.15 16.854 8.796
v20150818_00121 b278 Ks 2457253.60681892 63 443716 3.88 12764.38 5.27 15647.21 17.084 9.578
v20150902_00118 b278 Ks 2457268.51535307 64 623249 3.24 12762.18 5.14 15643.27 17.256 9.927
v20150906_00333 b279 Ks 2457272.58666747 67 328802 3.83 12762.07 4.56 15644.06 16.833 9.304
v20150907_00253 b278 H 2457273.55038084 2 411849 3.26 12766.16 4.28 15649.81 17.316 10.486
v20150907_00265 b278 Ks 2457273.55282982 65 444031 3.48 12764.12 5.44 15646.05 17.085 9.649
v20150907_00277 b278 J 2457273.55609109 2 437032 3.54 12765.63 5.59 15645.47 17.985 10.761
v20150907_00289 b279 H 2457273.560385 2 514944 3.49 12763.18 4.54 15647.14 17.394 10.579
v20150907_00301 b279 Ks 2457273.56285804 68 453916 3.66 12762.41 5.26 15646.52 17.097 9.911
v20150907_00313 b279 J 2457273.56533177 2 459510 3.63 12764.34 5.11 15646.8 17.974 10.743
v20150908_00131 b278 Ks 2457274.52131034 66 612761 3.19 12764.63 3.37 15645.12 17.297 9.546
